Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
1,4566,966,0,1,1542.652588,1103.627075,25.94915199,20.85795403,1542.652588,3151.627197,5.635593414,5.735795498,11.39830494,24.15909004,41.31356049,21.28693199,8.737288475,5.613636494,3.881356001,14.27556801,78.78813934,37.85227203,10.62711906,11.85795498
2,4612,1012,0,1,1335.494263,1064.264404,20.09195328,14.39252377,1335.494263,3112.264404,3.620689631,4.006230354,11.4597702,13.3769474,36.41379166,27.89096642,6.896551609,6.31775713,8.839080811,12.86915874,37.12643814,35.76947021,5.908045769,6.395638466
3,4890,1290,0,1,1075.794678,1237.517822,30.8125,26.29096985,1075.794678,3285.517822,12.16071415,9.973243713,34.8482132,28.5117054,47.99106979,28.36120415,8.401785851,6.421404839,3.0625,5.22073555,58.9375,35.75251007,10.2410717,8.073578835
4,5832,716,1,0,1092.414185,1586.131348,71.32323456,25.28627396,3140.414063,1586.131348,11.74747467,7.045751572,0.808080792,1.517647028,21.5252533,14.35686302,6.070706844,3.103267908,0.616161644,2.315032721,129.4646454,38.90588379,7.898989677,4.320261478
5,6386,1270,1,0,478.5841675,1925.683228,20.61386108,11.93139839,2526.584229,1925.683228,4.613861561,4.755936623,0,1.788918257,81.27722931,30.4076519,9.108910561,4.141160965,0.910891116,8.608179092,154.2277222,51.32057953,7.97029686,5.013192654
