Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
1,3807,207,0,1,1116.574707,1226.459717,101.6896515,105.314537,1116.574707,3274.459717,40.16091919,35.90889359,25.16091919,17.76138878,6.172413826,4.40997839,4.839080334,4.960954666,1.942528725,2.854663849,5.459770203,5.750542164,5.563218594,5.906724453
2,4102,502,0,1,949.1193848,1130.022339,17.56716347,13.37184143,949.1193848,3178.022461,43.45522308,15.13357449,27.13432884,15.05415154,4.223880768,3.535499334,2.895522356,2.583634138,5.097014904,4.578820705,4.223880768,3.369434357,3.552238703,3.599277973
3,4331,731,0,1,1103.675537,1147.76062,24.63297844,34.14981842,1103.675537,3195.760742,21.02127647,17.34104729,26.46808434,20.67722321,3.962765932,3.857490778,3.335106373,3.711327553,8.255319595,7.788063526,6.207446575,5.270401955,6.606382847,5.257003784
4,4740,1140,0,1,1398.522583,916.9459229,49.59459305,42.15419388,1398.522583,2964.946045,22.90090179,22.27664375,11.30630589,10.04761887,5.288288116,4.62358284,4.783783913,3.834467173,4.94594574,3.544217587,7.94594574,4.981859207,4.97297287,3.714285612
5,5555,439,1,0,280.2328796,1296.972656,72.29451752,71.0953598,2328.23291,1296.972656,22.14383507,12.97036076,11.54794502,11.47809315,0.226027399,2.259020567,1.856164336,2.543814421,0.458904117,2.436855555,4.3287673,3.82603097,5.643835545,5.094072342
6,5800,684,1,0,910.9736938,1448.084229,115.8684235,134.6623077,2958.973633,1448.084229,25.61578941,19.57853317,17.48421097,23.86387444,3.573684216,4.005235672,3.094736814,4.225131035,2.073684216,3.73560214,5.221052647,5.821989536,6.405262947,6.748691082
