Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
1,34,35,0,0,1707.825195,1769.834961,14.48543644,12.84431171,1707.825195,1769.834961,4.038835049,4.339820385,0.320388347,3.39221549,83,31.70059967,25.75728226,8.486526489,0.883495152,9.537425041,4.844660282,4.794909954,61.09708786,28.42514992
2,5449,333,1,0,214.6842041,1424.789429,14.4912281,8.597726822,2262.684326,1424.789429,4.938596725,4.129545689,0.982456148,5.96818161,15.40350914,10.30000019,26.57017517,10.14545441,1.350877166,7.852272511,3.394736767,3.827272654,26.83333397,13.3204546
