Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
1,347,348,0,0,1398.917603,1833.847046,9.376470566,7.797520638,1398.917603,1833.847046,3.776470661,3.845041275,0.458823532,1.260330558,41.49411774,20.35330582,6.752941132,4.444214821,0.858823538,4.735537052,60.98823547,29.09710693,5.31764698,4.456611633
2,803,322,1,1,1853.72937,1055.047119,9.199999809,6.075397015,3901.729492,3103.047119,2.411764622,2.706349134,3.505882263,9.484127045,77.72940826,27.34788322,7.552941322,3.609788418,13.18823528,20.83730125,93.42353058,40.52777863,19.8235302,25.47751236
3,5977,861,1,0,210.3525696,1809.583374,12.82051277,9.340395927,2258.352539,1809.583374,12.65384579,7.042372704,4.948718071,6.855932236,12.30128193,9.206214905,2.666666746,2.512711763,95.21794891,44.03813553,23.71153831,12.93785286,9.403845787,7.418078899
4,6122,1006,1,0,201.159668,1798.336182,7.89075613,8.181523323,2249.159668,1798.336182,5.10924387,4.925445557,0.109243698,1.346839547,60.66386414,21.30794144,5.697478771,4.674230099,4.48739481,6.474878311,90.4957962,41.29497528,7.050420284,5.359805584
