Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
274,3555,3074,1,1,2024.204712,1161.432739,7.85380125,7.557908058,4072.20459,3209.432861,6.91228056,4.075964928,31.63742638,47.16812134,3.818713427,3.259028673,0.830409348,2.095890522,49.25146103,31.33125687,8.187134743,6.591531754,30.77193069,43.53424835
275,3562,3081,1,1,708.0444336,805.7555542,7.266666889,8.307692528,2756.044434,2853.755615,10.87777805,7.239477634,11.98888874,7.284470081,1.166666627,2.060957909,0.611111104,2.26560235,66.07777405,31.9637146,19.75555611,15.58490562,29.73333359,30.07982635
276,3579,3098,1,1,1950.036011,1296.366943,5.870503426,6.193478107,3998.035889,3344.366943,5.33812952,3.739130497,27.32374191,44.23695755,4.424460411,4.404347897,1,2.423913002,48.99280548,35.35217285,8.863308907,7.339130402,31.92086411,43.67608643
277,3588,3107,1,1,721.8342896,910.4733887,7.621301651,8.06000042,2769.834229,2958.473389,9.44970417,7.442857265,11.43787003,12.18000031,1.917159796,2.861428499,0.917159736,2.417142868,92.65680695,58.14857101,32.22485352,26.58714294,33.15384674,33.65571594
278,3609,9,0,1,1039.488403,970.1279297,15.29069805,12.79629612,1039.488403,3018.12793,16.2441864,10.74768543,10.79069805,19.69444466,6.476744175,5.847222328,1.744186044,2.96064806,70.9883728,58.50463104,11.11627865,9.768518448,26.9069767,29.23379707
279,3626,26,0,1,1336.716675,974.0666504,7.433333397,7.735294342,1336.716675,3022.06665,4.216666698,4.959558964,16.86666679,32.63602829,5.216666698,12.52205849,2.549999952,6.029411793,17.48333359,14.08455849,14.71666622,17.84558868,3.833333254,7.044117451
280,3634,34,0,1,368,627.5999756,8.62857151,7.803738117,368,2675.600098,6.885714054,5.275701046,11.22857189,5.5,4,3.191588879,0.628571451,1,19.1428566,9.705607414,4.257143021,2.658878565,1.600000024,1.976635456
281,3636,36,0,1,1372.438599,958.7894897,20.94736862,28.05607414,1372.438599,3006.789551,14.40350914,17.28348923,44.03508759,32.86292648,3.263157845,4.866043568,3.61403513,4.595015526,34.36841965,22.31152725,9.736842155,8.087227821,2.912280798,3.137071609
282,3639,39,0,1,1216.196411,1207.589233,33.1607132,36.80430222,1216.196411,3255.589355,16.6071434,18.33118248,16.1607151,10.07096767,5.339285851,5.546236515,5.857142925,4.217204094,24.3035717,10.34193516,9.892857552,5.997849464,6.089285851,4.686021328
283,3651,51,0,1,1247.108643,1124.17395,23.82608604,18.45484924,1247.108643,3172.173828,9.086956978,8.618728638,18.13043404,12.79933071,2.956521749,3.598662138,1.760869622,2.294314384,14,7.484950066,5.565217495,4.230769157,7.173913002,6.307692528
