Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
121,4297,697,0,1,2014.929077,1311.174194,8.387096405,7.908629417,2014.929077,3359.174072,8.464515686,5.708121777,32.58709717,19.14974594,3.406451702,3.488578796,1.767741919,1.682741165,1.219354868,4.98984766,2.787096739,3.019035578,6.870967865,6.398477077
122,4302,702,0,1,1077.995605,1253.584106,20.11946869,20.20960045,1077.995605,3301.583984,12.64601803,10.95199966,22.07079697,23.71680069,4.836283207,5.702400208,3.159291983,3.329600096,7.535398006,7.05919981,7.871681213,7.284800053,4.995575428,6.38560009
123,4323,723,0,1,1105.715576,707.2018433,11.5871563,9.549192429,1105.715576,2755.201904,2.366972446,5.258443356,16.36697197,13.44933891,3.48623848,2.227606535,1.165137649,2.290748835,1.697247744,6.085168839,2.541284323,3.417033672,8.275229454,7.964757919
124,4336,736,0,1,1420.571411,895.3618774,25.39047623,36.0986824,1420.571411,2943.361816,16.88571358,9.712718964,11.83809566,9.70175457,3.142857075,3.039473772,1.91428566,2.230263233,0.876190484,1.381578922,2.63809514,2.703947306,2.400000095,2.442982435
125,4350,750,0,1,1657.921021,1239.912231,15.82456112,14.52238846,1657.921021,3287.912354,7.88596487,6.117537498,18,18.44216347,1.149122834,2.272387981,1.789473653,1.580223918,4.157894611,11.02052212,4.061403275,3.712686539,19.06140327,17.66604424
126,4357,757,0,1,1588.879761,1236.688477,16.93442535,17.69149017,1588.879761,3284.688477,7.819672108,5.251772881,9.928961754,25.15248299,1.327868819,2.425531864,0.44262296,1.413120508,2.027322292,4.184397221,1.120218635,1.898936152,3.229508162,5.680850983
127,4363,763,0,1,1630.252075,1305.109253,24.47899246,18.93409729,1630.252075,3353.109131,19.26050377,11.62750721,15.97478962,8.511461258,1.840336084,2.474211931,2.663865566,1.445558786,3.689075708,4.508595943,5.327731133,3.144699097,3.663865566,2.732091665
128,4366,766,0,1,1064.5,721.0983887,6.565573692,8.706065178,1064.5,2769.098389,9.573770523,8.538103104,9.467212677,9.636080742,2.008196831,2.479004622,1.672131181,2.14618969,6.409836292,11.20528793,4.811475277,5.118196011,5.540983677,5.583203793
129,4425,825,0,1,1134.915527,1135.318237,21.92207718,17.58533287,1134.915527,3183.318115,14.05194759,10.89733315,10.0714283,10.84133339,2.246753216,3.562666655,2.110389709,2.79066658,1.461038947,4.072000027,3.298701286,3.809333324,3.785714388,4.228000164
130,4431,831,0,1,1238.518799,1288.006226,16.22500038,18.79166603,1238.518799,3336.006348,3.575000048,4.524509907,17.66875076,15.31372547,5.237500191,4.272058964,6.96875,6.632352829,1.618749976,2.512254953,2.518749952,2.443627357,6.837500095,7.299019814
131,4436,836,0,1,1121.146362,695.8170776,16.19512177,16.85539246,1121.146362,2743.817139,3.695122004,8.139705658,11.80487823,8.669117928,2.817073107,2.399509907,0.841463387,1.997549057,8.780488014,7.411764622,3.402439117,3.801470518,5.073170662,5.137254715
132,4447,847,0,1,1092.799072,1312.534302,26.77169037,23.21708679,1092.799072,3360.53418,9.369862556,5.942576885,15.00913239,15.19747925,2.100456715,1.675070047,1.123287678,1.456582665,0.858447492,1.722689033,2.821917772,2.483193159,12.34703159,9.966386795
133,4474,874,0,1,1223.539551,1346.89209,47.02158356,67.35536957,1223.539551,3394.89209,11.07194233,9.603305817,17.04316521,15.50909138,2.352518082,3.195041418,2.064748287,2.542148829,3.913669109,4.634710789,4.258992672,3.914049625,11.18705082,11.94876003
134,4478,878,0,1,1518.578979,1045.927612,43.34210587,28.46694183,1518.578979,3093.927734,8.677631378,8.580578804,13.32236862,25.18181801,1.322368383,2.818181753,1.782894731,2.640495777,1.407894731,5.280991554,3.131578922,3.549586773,3.828947306,5.688016415
135,4496,896,0,1,1410.285156,1089.168701,28.2088356,32.19508362,1410.285156,3137.168701,12.8955822,9.116743088,15.96787167,14.63594437,2.590361357,3.892473221,2.457831383,3.161290407,2.385542154,3.643625259,4.606425762,4.640552998,4.971887589,6.37019968
136,4508,908,0,1,1372.707642,825.4561157,24.5087719,19.13299179,1372.707642,2873.456055,17.02923965,11.63682842,16.415205,16.08695602,2.578947306,3.585677862,0.830409348,1.769820929,1.350877166,3.038363218,2.438596487,2.746803045,3.84795332,5.012787819
137,4515,915,0,1,1437.264893,1064.900635,21.61589432,20.43364143,1437.264893,3112.900635,5.410595894,5.862654209,14.847682,13.55864239,1.900662303,2.415123463,1.066225171,1.890432119,3.920529842,4.310184956,3.49006629,3.825617313,12.85430431,8.726851463
138,4519,919,0,1,1478.377197,1177.697144,60.30285645,40.20481873,1478.377197,3225.697021,16.38285637,9.33562851,11.62857151,9.557659149,0.817142844,1.716006875,1.668571472,1.851979375,0.794285715,1.564543843,3.702857256,3.247848511,5.314285755,5.910499096
139,4559,959,0,1,1236.991943,544.1613159,7.016129017,8.103912354,1236.991943,2592.161377,9.362903595,7.419315338,11.41935444,13.99144268,3.112903118,3.974327564,1.629032254,2.530562401,6.798387051,15.16136932,4.129032135,4.45232296,5.483870983,6.976772785
140,4586,986,0,1,1556.446655,1277.009766,17.6601944,11.32754898,1556.446655,3325.009766,8.572815895,6.737526894,26.96116447,14.90889359,3.252427101,2.633405685,3.349514484,1.991323233,2.436893225,3.746203899,5.029126167,2.978307962,11.36893177,6.453362465
141,4587,987,0,1,1514.823853,785,23.32704353,15.01084614,1514.823853,2833,9.55974865,6.598698616,17.59119415,11.32537937,0.792452812,1.832971811,1.71069181,1.537961006,0.685534596,1.08459866,3.163522005,2.318871975,4.773584843,3.268980503
142,4591,991,0,1,1133.708374,844.09375,22.5,17.15428543,1133.708374,2892.09375,10.51041698,8.491428375,13.82291698,17.08857155,3.395833254,3.299999952,1.770833373,2.511428595,3.302083254,3.505714178,3.989583254,3.877142906,9.229166985,7.760000229
143,4597,997,0,1,1492.715942,1163.528442,34.89204407,34.72618866,1492.715942,3211.52832,14.97727299,9.515306473,11.596591,12.70068073,1.795454502,2.404761791,1.818181872,2.107142925,6.107954502,4.372448921,3.761363745,3.513605356,5.346590996,4.994897842
144,4609,1009,0,1,1380.882324,1112.453735,24.15126038,32.47254562,1380.882324,3160.453857,14.15966415,7.775374413,10.86554623,11.26455879,1.747899175,3.69717145,1.411764741,2.460898399,1.260504246,4.001663685,3.008403301,4.176372528,3.546218395,4.500832081
145,4615,1015,0,1,1129.551514,887.0220337,19.22058868,24.26873779,1129.551514,2935.021973,15.73529434,11.02011013,10,8.94332695,1.139705896,2.731261492,1.588235259,2.394881248,1.095588207,2.561243057,2.536764622,2.965265036,3.404411793,4.716636181
146,4626,1026,0,1,1482.56665,956.5133057,15.64666653,21.38378334,1482.56665,3004.513428,8.873332977,9.622973442,13.50666714,12.0216217,1.986666679,3.905405521,1.340000033,3.021621704,9.146666527,5.287837982,4.159999847,4.283783913,2.866666555,3.260810852
147,4629,1029,0,1,1278.816406,969.8860474,22.02531624,42.46250153,1278.816406,3017.885986,11.49367046,17.08392906,13.31645584,12.64107132,1.943037987,3.782142878,1.531645536,2.864285707,7.012658119,5.676785946,4.550632954,4.564285755,2.069620371,3.224999905
