Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
187,5861,745,1,0,713.189209,1109.797241,8.925675392,11.14358139,2761.189209,1109.797241,21.7905407,11.95270252,0.972972989,2.631756783,1.547297239,1.790540576,0.533783793,1.645270228,1.763513565,9.011824608,2.668918848,4.182432652,2.560810804,2.880067587
188,5884,768,1,0,836.6838989,1496.99353,7.78064537,11.14171982,2884.683838,1496.99353,21.03870964,10.60031891,0.825806439,3.27388525,0.787096798,2.471337557,1.122580647,1.942675114,2.741935492,9.320063591,3.464516163,4.72611475,4.064516068,6.431528568
189,5885,769,1,0,532.7999878,1816.889648,10.85517216,11.07790661,2580.800049,1816.889648,39.88275909,13.26162815,2.234482765,2.959302425,1.041379333,2.719767332,1.944827557,2.33023262,1.365517259,9.63139534,4.006896496,3.99186039,2.724138021,2.795348883
190,5886,770,1,0,837.8469238,1718.586792,7.372448921,8.471747398,2885.846924,1718.586792,22.16326523,10.51116943,1.632653117,2.809461117,0.295918375,1.959264159,0.948979616,1.829172134,4.387754917,6.678055286,3.015306234,3.538764715,2.908163309,3.760840893
191,5892,776,1,0,240.7388611,1062.7771,24.36305809,20.10821915,2288.73877,1062.7771,22.79617882,13.05205441,8.031847,9.328766823,2.477706909,3.195890427,1.968152881,2.743835688,121.0955429,69.79315186,17.53503227,12.45205498,16.27388573,10.45753384
192,5908,792,1,0,471.1749878,1420.908325,9.350000381,10.7756567,2519.175049,1420.908325,26.40833282,15.01193333,6.841666698,7.403341293,1.666666627,2.694510698,1.741666675,2.186157465,69.25,54.92840195,10.14999962,10.45823383,13.22500038,12.07159901
193,5929,813,1,0,241.3312836,802.9938354,30.61963272,18.88646317,2289.331299,802.9938354,20.50920296,11.35807896,0.515337408,1.836244583,2.803680897,4.556768417,2.975460052,2.628820896,0.889570534,4.230349541,4.38650322,3.787117958,3.69325161,3.332969427
194,5940,824,1,0,985.3346558,1417.657227,9.810483932,9.476374626,3033.334717,1417.657227,19.79435539,9.307618141,2.060483932,2.593056917,0.391129047,3.291224718,2.35483861,2.080038548,2.512096882,3.978785038,4.193548203,3.271938324,3.786290407,3.068466663
195,5974,858,1,0,402.2684631,969.7181396,14.92617416,16.17245293,2450.268555,969.7181396,22.27516747,11.87793922,0.463087261,3.301231861,2.771811962,3.240761518,3.013422728,2.904815197,0.550335586,7.067189217,3.657718182,4.286674023,2.610738277,3.750279903
196,5981,865,1,0,754.9091187,847.1636353,19.97272682,17.05882263,2802.90918,847.1636353,19.84545517,11.05882359,0.654545426,2.655080318,2.609090805,2.92780757,0.945454538,1.86096251,0.5,3.71657753,3.590909004,3.363636255,3.627272844,3.676470518
197,5995,879,1,0,1073.872559,1540.308838,19.71078491,18.22317123,3121.872559,1540.308838,22.43137169,11.94024372,8.039216042,12.13536549,1.357843161,2.534146309,1.509803891,2.125609875,155.5490265,117.8390274,18.94607925,17.29268265,16.68137169,21.3341465
198,6002,886,1,0,1127.930054,1731.380005,8.949999809,11.03380775,3175.929932,1731.380005,34.74000168,12.27046299,2.200000048,2.996441364,0.479999989,1.966192126,0.370000005,1.670818448,0.629999995,10.87188625,2.980000019,3.912811279,1.679999948,4.797152996
199,6015,899,1,0,631.0899658,1257.650757,19.60846519,16.45997429,2679.089844,1257.650757,24.30687904,12.87801743,3.21164012,9.900889397,3.13756609,3.513341904,2.476190567,3.500635386,18.44973564,39.54637909,6.798941612,8.979669571,6.719576836,9.692502975
