Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
1,202,203,0,0,1883.634399,1335.806396,31.90322495,25.16797447,1883.634399,1335.806396,9.182795525,7.516483307,0.010752688,1.621664047,24.89247322,17.6593399,8.139784813,5.139717579,0.129032254,2.282574654,1.688172102,3.114599705,40.79570007,24.65620041
2,1903,1422,1,1,1830.71228,1001.363037,33.03424835,20.27186775,3878.712402,3049.363037,7.308218956,4.832151413,6.273972511,18.3427887,44.41095734,21.13475227,7.205479622,5.130023479,4.2808218,19.8581562,5.321918011,6.316784859,42.65753555,40.14657211
3,1954,1473,1,1,1779.037598,756.4661865,29.47368431,16.11943054,3827.037598,2804.466064,5.511278152,3.925133705,6.789473534,7.267379761,40.4736824,18.29590034,6.413533688,3.828876972,4.6842103,6.486630917,5.586466312,4.190731049,44.69924927,30.87165833
4,4532,932,0,1,1364.74353,1258.923096,21.85042763,20.64502716,1364.74353,3306.923096,10.70512867,7.784530163,83.70513153,39.99171448,10.13247871,6.207182407,6.863247871,3.86602211,51.5128212,24.22375679,13.09401703,7.556629658,37.84615326,22.14779091
5,5214,98,1,0,442.2686462,1202.119385,25.17910385,16,2490.268555,1202.119385,11.22388077,8.230392456,0.328358203,2.341503382,39.50746155,28.36928177,14.79104519,7.0359478,0.880596995,4.410130501,5.208955288,4.3039217,44.41791153,24.69281006
6,6284,1168,1,0,317.9855042,1840.688354,27.41304398,12.9402113,2365.985596,1840.688354,4.949275494,4.718640327,0.615942001,1.600234509,26.97826004,13.44196987,5.84057951,2.882766724,1.079710126,5.15357542,4.347826004,3.643610716,32.64492798,11.15123081
