Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
1,3616,16,0,1,1290.888916,1332.222168,38.854702,54.8411026,1290.888916,3380.222168,11.31623936,8.853813171,48.41880417,31.38135529,17.17948723,12.28601742,4.504273415,3.82415247,61.78632355,32.38983154,12.51282024,8.760593414,14.11111069,11.66101742
2,3786,186,0,1,801.953125,726.6875,27.421875,19.45248795,801.953125,2774.6875,3.484375,5.757164478,0.46875,2.343891382,11.15625,3.006033182,0.09375,2.34087491,0.1875,2.485671282,0.828125,2.352941275,0.671875,2.263951778
3,3833,233,0,1,1264.419312,1347.338745,20.81451607,34.89498901,1264.419312,3395.338623,5.362903118,5.866348267,19.83870888,16.94749451,13.74193573,11.83054924,1.84677422,2.384248257,30.10483932,18.74463081,6.782258034,5.675417423,4.048387051,5.6252985
4,3954,354,0,1,1309.925049,1334.025024,34.0625,42.81818008,1309.925049,3382.024902,11.53750038,9.143540382,14.72500038,16.90430641,9.675000191,6.688995361,2.174999952,2.502392292,3.75,5.282296658,3.599999905,3.851674557,7.387499809,8.320573807
5,4008,408,0,1,696,920.6818237,98.15151215,70.91497803,696,2968.681885,23.74242401,18.2570858,18.22727203,19.82995987,9,4.823886871,3.030303001,2.872469664,70.57575989,38.79959488,10.75757599,8.611335754,12.98484802,11.31174088
6,4120,520,0,1,1308.310303,1320.362061,21.9396553,34.67806244,1308.310303,3368.362061,5.663793087,6.002849102,19.99137878,19.55840492,14.35344791,12.60683727,1.637930989,2.717948675,27.37068939,19.80626869,7.11206913,6.347578526,4.88793087,5.621082783
7,4440,840,0,1,957.6749878,1218.625,164.6125031,162.1838226,957.6749878,3266.625,59.13750076,61.60882187,21.78750038,12.86470604,9.1875,5.56764698,5.637499809,5.252941132,17.95000076,7.020588398,14.91250038,7.211764812,6.675000191,4.410294056
8,4472,872,0,1,785.4371338,481.6940002,51.72130966,20.01965523,785.4371338,2529.694092,11.49726772,6.577395439,4.071038246,4.950860023,9.655737877,6.407862186,1.836065531,2.293611765,2.879781485,3.70147419,4.393442631,3.949631453,14.48087406,10.12776375
9,4568,968,0,1,665.8322144,283.4026794,87.29530334,43.8571434,665.8322144,2331.402588,14.48993301,6.983766079,3.785234928,10.58928585,12.07382584,6.746753216,1.42281878,2.219155788,9.644295692,12.71753216,2.040268421,3.719155788,3.543624163,7.112012863
